company,price,change
Microsoft Corporation (MSFT),371.14,(-0.04%)
International Business Machines Corporation (IBM),165.92,(+1.47%)
General Electric Company (GE),122.03,(+1.45%)
Union Pacific Corporation (UNP),234.07,(+0.88%)
Costco Wholesale Corporation (COST),627.91,(+0.65%)
McDonald's Corporation (MCD),289.86,(+0.25%)
Visa Inc. (V),257.75,(+0.48%)
Walmart Inc. (WMT),151.19,(-0.03%)
The Walt Disney Company (DIS),91.73,(-0.51%)
3M Company (MMM),103.14,(-0.02%)
Intel Corporation (INTC),44.17,(-0.83%)
American Express Company (AXP),169.46,(+0.64%)
Apple Inc. (AAPL),193.20,(+0.01%)
The Boeing Company (BA),250.16,(+0.84%)
"Cisco Systems, Inc. (CSCO)",49.18,(-0.43%)
"The Goldman Sachs Group, Inc. (GS)",351.94,(+0.05%)
JPMorgan Chase & Co. (JPM),159.95,(+0.54%)
"Salesforce, Inc. (CRM)",254.37,(+0.90%)
Verizon Communications Inc. (VZ),37.43,(-0.65%)
